sample_num,pile_id1,pile_id2,collector,coll_num,country,latitude,longitude,phyllotaxy,petiole_maxlen,petiole_minlen,small_leaf_len,small_leaf_wid,large_leaf_len,large_leaf_wid,apex_len,apex_wid,fert_leaf_len,fert_leaf_wid,pedicel_len,hyp_len,hyp_wid,calyxlobe_len,calyxlobe_wid,andr_len,cortube_dors_len,cortube_vent_len,cortube_narrow_wid,corolla_curling,anth_tub_len,anth_tip_wid,exsertion_len,flower_len
1,B. crispiloba,B. crispiloba,Muchhala,207,Ecuador,0.3183,-78.7936,distichous,8,6,138,47,138,47,8,2,112,38,75,8.1,4.2,1.7,1.4,37.7,14.7,11.2,2.8,scroll,10.5,2.8,26.9,45.8
2,B. crispiloba,B. crispiloba,Werling,233,Ecuador,0.9,-78.1167,distichous,9,4,118,39,110,39,12,2,110,39,75,10.3,5.1,1.3,1.2,35.5,14.3,11.3,3.9,curl,10.6,3.8,22.7,45.8
3,B. crispiloba,B. crispiloba,Knudsen,459,Ecuador,-1.6333,-79.3167,distichous,5,5,59,20,62,25,8,3,69,25,97,8.1,5,3.6,0.6,41.9,15.3,11.8,2.6,scroll,10,4.5,29.5,50
4,B. crispiloba,B. crispiloba,Clark,499,Ecuador,0.35,-79.73333,distichous,5,5,75,22,79,33,6,2.5,75,20,87,10,5.2,0.7,1,43,16.2,14.3,3.7,scroll,11.7,3.4,27.9,53
5,B. crispiloba,B. crispiloba,Balslev,1996,Ecuador,0.8333,-77.9,distichous,6,4,63,25,67,28,9,2,63,25,62,8.2,5.6,0.7,0.9,32.2,13,10.7,3.7,scroll,8.1,3.3,21.2,40.4
6,B. crispiloba,B. crispiloba,Stein,2686,Ecuador,-0.25,-78.91666,distichous,7,4,99,29,121,38,13,2,90,25,118,9.8,6.2,1.3,1.5,34,15.6,11.1,2.9,scroll,9.9,2.4,22.7,43.8
7,B. crispiloba,B. crispiloba,Stein,3091,Ecuador,-0.53333,-79.18333,distichous,6,4.5,90,24.5,120.5,31,10,2,100.5,28,100,11.75,6.5,0.7,1.7,38.6,16,11.5,3.25,scroll,9.35,3.45,26.25,50.35
8,B. crispiloba,B. crispiloba,Bonifaz,3170,Ecuador,-2.1,-79.16667,distichous,5,3,127,37,147,38,17,3,124,34,98,8.5,5.1,1.9,1,35.5,16.5,12,3.2,curl,9.2,2.8,23,44
9,B. crispiloba,B. crispiloba,Daly,5206,Ecuador,0.08333,-79.03333,distichous,9,6,125,40,165,60,10,2,162,52,101,13.8,4.9,0.9,1.3,43.5,20.2,15.6,3.4,scroll,12.2,4.3,26.8,57.3
10,B. crispiloba,B. crispiloba,Vargas,5585,Ecuador,-2.55416,-79.36638,distichous,7,4,105,32,138,42,21,4,136,43,135,7.9,4.6,2.5,1.6,42.2,19.5,14.8,2.8,scroll,11.7,3.3,28.4,50.1
11,B. crispiloba,B. crispiloba,Jaramillo,6611,Ecuador,0.0833,-79.0333,distichous,5,4,80,18,96,25,13,2,85,27,89,11.2,5.6,1.1,1.4,41.4,17.5,14.1,3.9,scroll,11.8,5.2,27.7,52.6
12,B. crispiloba,B. crispiloba,Dodson,7217,Ecuador,0.53333,-79.18333,distichous,8,6,111,35,136,40,10,2,136,40,80,10,7.1,1.8,1.6,38.2,17.8,14.2,3.5,scroll,11.1,5.2,23.4,48.2
